claimID,c,theta,mu,beta,gamma,majority,weighted,weightedAfterAlgorithm
28,0.200,0.800,0.200,1.000,1.000,-0.882,-0.261,-0.251
28,0.200,0.800,0.400,0.000,0.000,-0.882,-0.261,-0.227
28,0.200,0.800,0.400,0.000,0.200,-0.882,-0.261,-0.230
28,0.200,0.800,0.400,0.000,0.400,-0.882,-0.261,-0.233
28,0.200,0.800,0.400,0.000,0.600,-0.882,-0.261,-0.238
28,0.200,0.800,0.400,0.000,0.800,-0.882,-0.261,-0.244
28,0.200,0.800,0.400,0.000,1.000,-0.882,-0.261,-0.249
28,0.200,0.800,0.400,0.200,0.000,-0.882,-0.261,-0.231
28,0.200,0.800,0.400,0.200,0.200,-0.882,-0.261,-0.234
28,0.200,0.800,0.400,0.200,0.400,-0.882,-0.261,-0.238
28,0.200,0.800,0.400,0.200,0.600,-0.882,-0.261,-0.243
28,0.200,0.800,0.400,0.200,0.800,-0.882,-0.261,-0.251
28,0.200,0.800,0.400,0.200,1.000,-0.882,-0.261,-0.259
28,0.200,0.800,0.400,0.400,0.000,-0.882,-0.261,-0.234
28,0.200,0.800,0.400,0.400,0.200,-0.882,-0.261,-0.238
28,0.200,0.800,0.400,0.400,0.400,-0.882,-0.261,-0.242
28,0.200,0.800,0.400,0.400,0.600,-0.882,-0.261,-0.249
28,0.200,0.800,0.400,0.400,0.800,-0.882,-0.261,-0.259
28,0.200,0.800,0.400,0.400,1.000,-0.882,-0.261,-0.272
28,0.200,0.800,0.400,0.600,0.000,-0.882,-0.261,-0.237
28,0.200,0.800,0.400,0.600,0.200,-0.882,-0.261,-0.241
28,0.200,0.800,0.400,0.600,0.400,-0.882,-0.261,-0.245
28,0.200,0.800,0.400,0.600,0.600,-0.882,-0.261,-0.250
28,0.200,0.800,0.400,0.600,0.800,-0.882,-0.261,-0.255
28,0.200,0.800,0.400,0.600,1.000,-0.882,-0.261,-0.262
28,0.200,0.800,0.400,0.800,0.000,-0.882,-0.261,-0.239
28,0.200,0.800,0.400,0.800,0.200,-0.882,-0.261,-0.242
28,0.200,0.800,0.400,0.800,0.400,-0.882,-0.261,-0.245
28,0.200,0.800,0.400,0.800,0.600,-0.882,-0.261,-0.249
28,0.200,0.800,0.400,0.800,0.800,-0.882,-0.261,-0.254
28,0.200,0.800,0.400,0.800,1.000,-0.882,-0.261,-0.259
28,0.200,0.800,0.400,1.000,0.000,-0.882,-0.261,-0.240
28,0.200,0.800,0.400,1.000,0.200,-0.882,-0.261,-0.243
28,0.200,0.800,0.400,1.000,0.400,-0.882,-0.261,-0.246
28,0.200,0.800,0.400,1.000,0.600,-0.882,-0.261,-0.249
28,0.200,0.800,0.400,1.000,0.800,-0.882,-0.261,-0.253
28,0.200,0.800,0.400,1.000,1.000,-0.882,-0.261,-0.258
28,0.200,0.800,0.600,0.000,0.000,-0.882,-0.261,-0.223
28,0.200,0.800,0.600,0.000,0.200,-0.882,-0.261,-0.226
28,0.200,0.800,0.600,0.000,0.400,-0.882,-0.261,-0.229
28,0.200,0.800,0.600,0.000,0.600,-0.882,-0.261,-0.234
28,0.200,0.800,0.600,0.000,0.800,-0.882,-0.261,-0.241
28,0.200,0.800,0.600,0.000,1.000,-0.882,-0.261,-0.246
28,0.200,0.800,0.600,0.200,0.000,-0.882,-0.261,-0.225
28,0.200,0.800,0.600,0.200,0.200,-0.882,-0.261,-0.229
28,0.200,0.800,0.600,0.200,0.400,-0.882,-0.261,-0.233
28,0.200,0.800,0.600,0.200,0.600,-0.882,-0.261,-0.238
28,0.200,0.800,0.600,0.200,0.800,-0.882,-0.261,-0.246
28,0.200,0.800,0.600,0.200,1.000,-0.882,-0.261,-0.252
28,0.200,0.800,0.600,0.400,0.000,-0.882,-0.261,-0.228
28,0.200,0.800,0.600,0.400,0.200,-0.882,-0.261,-0.231
28,0.200,0.800,0.600,0.400,0.400,-0.882,-0.261,-0.236
28,0.200,0.800,0.600,0.400,0.600,-0.882,-0.261,-0.242
28,0.200,0.800,0.600,0.400,0.800,-0.882,-0.261,-0.252
28,0.200,0.800,0.600,0.400,1.000,-0.882,-0.261,-0.258
28,0.200,0.800,0.600,0.600,0.000,-0.882,-0.261,-0.230
28,0.200,0.800,0.600,0.600,0.200,-0.882,-0.261,-0.234
28,0.200,0.800,0.600,0.600,0.400,-0.882,-0.261,-0.239
28,0.200,0.800,0.600,0.600,0.600,-0.882,-0.261,-0.247
28,0.200,0.800,0.600,0.600,0.800,-0.882,-0.261,-0.258
28,0.200,0.800,0.600,0.600,1.000,-0.882,-0.261,-0.266
28,0.200,0.800,0.600,0.800,0.000,-0.882,-0.261,-0.232
28,0.200,0.800,0.600,0.800,0.200,-0.882,-0.261,-0.237
28,0.200,0.800,0.600,0.800,0.400,-0.882,-0.261,-0.243
28,0.200,0.800,0.600,0.800,0.600,-0.882,-0.261,-0.251
28,0.200,0.800,0.600,0.800,0.800,-0.882,-0.261,-0.265
28,0.200,0.800,0.600,0.800,1.000,-0.882,-0.261,-0.274
28,0.200,0.800,0.600,1.000,0.000,-0.882,-0.261,-0.235
28,0.200,0.800,0.600,1.000,0.200,-0.882,-0.261,-0.240
28,0.200,0.800,0.600,1.000,0.400,-0.882,-0.261,-0.246
28,0.200,0.800,0.600,1.000,0.600,-0.882,-0.261,-0.253
28,0.200,0.800,0.600,1.000,0.800,-0.882,-0.261,-0.262
28,0.200,0.800,0.600,1.000,1.000,-0.882,-0.261,-0.272
28,0.200,0.800,0.800,0.000,0.000,-0.882,-0.261,-0.220
28,0.200,0.800,0.800,0.000,0.200,-0.882,-0.261,-0.223
28,0.200,0.800,0.800,0.000,0.400,-0.882,-0.261,-0.227
28,0.200,0.800,0.800,0.000,0.600,-0.882,-0.261,-0.232
28,0.200,0.800,0.800,0.000,0.800,-0.882,-0.261,-0.239
28,0.200,0.800,0.800,0.000,1.000,-0.882,-0.261,-0.244
28,0.200,0.800,0.800,0.200,0.000,-0.882,-0.261,-0.222
28,0.200,0.800,0.800,0.200,0.200,-0.882,-0.261,-0.226
28,0.200,0.800,0.800,0.200,0.400,-0.882,-0.261,-0.229
28,0.200,0.800,0.800,0.200,0.600,-0.882,-0.261,-0.235
28,0.200,0.800,0.800,0.200,0.800,-0.882,-0.261,-0.243
28,0.200,0.800,0.800,0.200,1.000,-0.882,-0.261,-0.249
28,0.200,0.800,0.800,0.400,0.000,-0.882,-0.261,-0.224
28,0.200,0.800,0.800,0.400,0.200,-0.882,-0.261,-0.228
28,0.200,0.800,0.800,0.400,0.400,-0.882,-0.261,-0.232
28,0.200,0.800,0.800,0.400,0.600,-0.882,-0.261,-0.238
28,0.200,0.800,0.800,0.400,0.800,-0.882,-0.261,-0.248
28,0.200,0.800,0.800,0.400,1.000,-0.882,-0.261,-0.254
28,0.200,0.800,0.800,0.600,0.000,-0.882,-0.261,-0.226
28,0.200,0.800,0.800,0.600,0.200,-0.882,-0.261,-0.230
28,0.200,0.800,0.800,0.600,0.400,-0.882,-0.261,-0.235
28,0.200,0.800,0.800,0.600,0.600,-0.882,-0.261,-0.242
28,0.200,0.800,0.800,0.600,0.800,-0.882,-0.261,-0.253
28,0.200,0.800,0.800,0.600,1.000,-0.882,-0.261,-0.259
28,0.200,0.800,0.800,0.800,0.000,-0.882,-0.261,-0.228
28,0.200,0.800,0.800,0.800,0.200,-0.882,-0.261,-0.232
28,0.200,0.800,0.800,0.800,0.400,-0.882,-0.261,-0.237
28,0.200,0.800,0.800,0.800,0.600,-0.882,-0.261,-0.246
28,0.200,0.800,0.800,0.800,0.800,-0.882,-0.261,-0.260
28,0.200,0.800,0.800,0.800,1.000,-0.882,-0.261,-0.265
28,0.200,0.800,0.800,1.000,0.000,-0.882,-0.261,-0.229
28,0.200,0.800,0.800,1.000,0.200,-0.882,-0.261,-0.234
28,0.200,0.800,0.800,1.000,0.400,-0.882,-0.261,-0.241
28,0.200,0.800,0.800,1.000,0.600,-0.882,-0.261,-0.251
28,0.200,0.800,0.800,1.000,0.800,-0.882,-0.261,-0.270
28,0.200,0.800,0.800,1.000,1.000,-0.882,-0.261,-0.270
28,0.200,0.800,1.000,0.000,0.000,-0.882,-0.261,-0.219
28,0.200,0.800,1.000,0.000,0.200,-0.882,-0.261,-0.222
28,0.200,0.800,1.000,0.000,0.400,-0.882,-0.261,-0.226
28,0.200,0.800,1.000,0.000,0.600,-0.882,-0.261,-0.231
28,0.200,0.800,1.000,0.000,0.800,-0.882,-0.261,-0.238
28,0.200,0.800,1.000,0.000,1.000,-0.882,-0.261,-0.244
28,0.200,0.800,1.000,0.200,0.000,-0.882,-0.261,-0.220
28,0.200,0.800,1.000,0.200,0.200,-0.882,-0.261,-0.224
28,0.200,0.800,1.000,0.200,0.400,-0.882,-0.261,-0.228
28,0.200,0.800,1.000,0.200,0.600,-0.882,-0.261,-0.233
28,0.200,0.800,1.000,0.200,0.800,-0.882,-0.261,-0.242
28,0.200,0.800,1.000,0.200,1.000,-0.882,-0.261,-0.248
28,0.200,0.800,1.000,0.400,0.000,-0.882,-0.261,-0.222
28,0.200,0.800,1.000,0.400,0.200,-0.882,-0.261,-0.225
28,0.200,0.800,1.000,0.400,0.400,-0.882,-0.261,-0.230
28,0.200,0.800,1.000,0.400,0.600,-0.882,-0.261,-0.236
28,0.200,0.800,1.000,0.400,0.800,-0.882,-0.261,-0.246
28,0.200,0.800,1.000,0.400,1.000,-0.882,-0.261,-0.252
28,0.200,0.800,1.000,0.600,0.000,-0.882,-0.261,-0.223
28,0.200,0.800,1.000,0.600,0.200,-0.882,-0.261,-0.227
28,0.200,0.800,1.000,0.600,0.400,-0.882,-0.261,-0.232
28,0.200,0.800,1.000,0.600,0.600,-0.882,-0.261,-0.239
28,0.200,0.800,1.000,0.600,0.800,-0.882,-0.261,-0.251
28,0.200,0.800,1.000,0.600,1.000,-0.882,-0.261,-0.256
28,0.200,0.800,1.000,0.800,0.000,-0.882,-0.261,-0.224
28,0.200,0.800,1.000,0.800,0.200,-0.882,-0.261,-0.228
28,0.200,0.800,1.000,0.800,0.400,-0.882,-0.261,-0.234
28,0.200,0.800,1.000,0.800,0.600,-0.882,-0.261,-0.243
28,0.200,0.800,1.000,0.800,0.800,-0.882,-0.261,-0.258
28,0.200,0.800,1.000,0.800,1.000,-0.882,-0.261,-0.261
28,0.200,0.800,1.000,1.000,0.000,-0.882,-0.261,-0.226
28,0.200,0.800,1.000,1.000,0.200,-0.882,-0.261,-0.230
28,0.200,0.800,1.000,1.000,0.400,-0.882,-0.261,-0.237
28,0.200,0.800,1.000,1.000,0.600,-0.882,-0.261,-0.247
28,0.200,0.800,1.000,1.000,0.800,-0.882,-0.261,-0.264
28,0.200,0.800,1.000,1.000,1.000,-0.882,-0.261,-0.266
28,0.200,1.000,0.000,0.000,0.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.000,0.200,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.000,0.400,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.000,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.000,0.800,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.000,1.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.200,0.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.200,0.200,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.200,0.400,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.200,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.200,0.800,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.200,1.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.400,0.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.400,0.200,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.400,0.400,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.400,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.400,0.800,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.400,1.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.600,0.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.600,0.200,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.600,0.400,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.600,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.600,0.800,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.600,1.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.800,0.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.800,0.200,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.800,0.400,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.800,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.800,0.800,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,0.800,1.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,1.000,0.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,1.000,0.200,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,1.000,0.400,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,1.000,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,1.000,0.800,-0.882,-0.261,-0.239
28,0.200,1.000,0.000,1.000,1.000,-0.882,-0.261,-0.239
28,0.200,1.000,0.200,0.000,0.000,-0.882,-0.261,-0.231
28,0.200,1.000,0.200,0.000,0.200,-0.882,-0.261,-0.232
28,0.200,1.000,0.200,0.000,0.400,-0.882,-0.261,-0.235
28,0.200,1.000,0.200,0.000,0.600,-0.882,-0.261,-0.238
28,0.200,1.000,0.200,0.000,0.800,-0.882,-0.261,-0.242
28,0.200,1.000,0.200,0.000,1.000,-0.882,-0.261,-0.249
28,0.200,1.000,0.200,0.200,0.000,-0.882,-0.261,-0.234
28,0.200,1.000,0.200,0.200,0.200,-0.882,-0.261,-0.235
28,0.200,1.000,0.200,0.200,0.400,-0.882,-0.261,-0.236
28,0.200,1.000,0.200,0.200,0.600,-0.882,-0.261,-0.238
28,0.200,1.000,0.200,0.200,0.800,-0.882,-0.261,-0.241
28,0.200,1.000,0.200,0.200,1.000,-0.882,-0.261,-0.245
28,0.200,1.000,0.200,0.400,0.000,-0.882,-0.261,-0.235
28,0.200,1.000,0.200,0.400,0.200,-0.882,-0.261,-0.236
28,0.200,1.000,0.200,0.400,0.400,-0.882,-0.261,-0.237
28,0.200,1.000,0.200,0.400,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.200,0.400,0.800,-0.882,-0.261,-0.240
28,0.200,1.000,0.200,0.400,1.000,-0.882,-0.261,-0.243
28,0.200,1.000,0.200,0.600,0.000,-0.882,-0.261,-0.236
28,0.200,1.000,0.200,0.600,0.200,-0.882,-0.261,-0.237
28,0.200,1.000,0.200,0.600,0.400,-0.882,-0.261,-0.238
28,0.200,1.000,0.200,0.600,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.200,0.600,0.800,-0.882,-0.261,-0.240
28,0.200,1.000,0.200,0.600,1.000,-0.882,-0.261,-0.242
28,0.200,1.000,0.200,0.800,0.000,-0.882,-0.261,-0.236
28,0.200,1.000,0.200,0.800,0.200,-0.882,-0.261,-0.237
28,0.200,1.000,0.200,0.800,0.400,-0.882,-0.261,-0.238
28,0.200,1.000,0.200,0.800,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.200,0.800,0.800,-0.882,-0.261,-0.240
28,0.200,1.000,0.200,0.800,1.000,-0.882,-0.261,-0.242
28,0.200,1.000,0.200,1.000,0.000,-0.882,-0.261,-0.236
28,0.200,1.000,0.200,1.000,0.200,-0.882,-0.261,-0.237
28,0.200,1.000,0.200,1.000,0.400,-0.882,-0.261,-0.238
28,0.200,1.000,0.200,1.000,0.600,-0.882,-0.261,-0.239
28,0.200,1.000,0.200,1.000,0.800,-0.882,-0.261,-0.240
28,0.200,1.000,0.200,1.000,1.000,-0.882,-0.261,-0.241
28,0.200,1.000,0.400,0.000,0.000,-0.882,-0.261,-0.223
28,0.200,1.000,0.400,0.000,0.200,-0.882,-0.261,-0.226
28,0.200,1.000,0.400,0.000,0.400,-0.882,-0.261,-0.229
28,0.200,1.000,0.400,0.000,0.600,-0.882,-0.261,-0.232
28,0.200,1.000,0.400,0.000,0.800,-0.882,-0.261,-0.238
28,0.200,1.000,0.400,0.000,1.000,-0.882,-0.261,-0.246
28,0.200,1.000,0.400,0.200,0.000,-0.882,-0.261,-0.226
28,0.200,1.000,0.400,0.200,0.200,-0.882,-0.261,-0.228
28,0.200,1.000,0.400,0.200,0.400,-0.882,-0.261,-0.231
28,0.200,1.000,0.400,0.200,0.600,-0.882,-0.261,-0.235
28,0.200,1.000,0.400,0.200,0.800,-0.882,-0.261,-0.240
28,0.200,1.000,0.400,0.200,1.000,-0.882,-0.261,-0.249
28,0.200,1.000,0.400,0.400,0.000,-0.882,-0.261,-0.227
28,0.200,1.000,0.400,0.400,0.200,-0.882,-0.261,-0.230
28,0.200,1.000,0.400,0.400,0.400,-0.882,-0.261,-0.233
28,0.200,1.000,0.400,0.400,0.600,-0.882,-0.261,-0.237
28,0.200,1.000,0.400,0.400,0.800,-0.882,-0.261,-0.242
28,0.200,1.000,0.400,0.400,1.000,-0.882,-0.261,-0.251
28,0.200,1.000,0.400,0.600,0.000,-0.882,-0.261,-0.229
28,0.200,1.000,0.400,0.600,0.200,-0.882,-0.261,-0.231
28,0.200,1.000,0.400,0.600,0.400,-0.882,-0.261,-0.234
28,0.200,1.000,0.400,0.600,0.600,-0.882,-0.261,-0.238
28,0.200,1.000,0.400,0.600,0.800,-0.882,-0.261,-0.243
28,0.200,1.000,0.400,0.600,1.000,-0.882,-0.261,-0.249
28,0.200,1.000,0.400,0.800,0.000,-0.882,-0.261,-0.230
28,0.200,1.000,0.400,0.800,0.200,-0.882,-0.261,-0.233
28,0.200,1.000,0.400,0.800,0.400,-0.882,-0.261,-0.235
28,0.200,1.000,0.400,0.800,0.600,-0.882,-0.261,-0.238
28,0.200,1.000,0.400,0.800,0.800,-0.882,-0.261,-0.242
28,0.200,1.000,0.400,0.800,1.000,-0.882,-0.261,-0.247
28,0.200,1.000,0.400,1.000,0.000,-0.882,-0.261,-0.231
28,0.200,1.000,0.400,1.000,0.200,-0.882,-0.261,-0.233
28,0.200,1.000,0.400,1.000,0.400,-0.882,-0.261,-0.236
28,0.200,1.000,0.400,1.000,0.600,-0.882,-0.261,-0.238
28,0.200,1.000,0.400,1.000,0.800,-0.882,-0.261,-0.242
28,0.200,1.000,0.400,1.000,1.000,-0.882,-0.261,-0.246
28,0.200,1.000,0.600,0.000,0.000,-0.882,-0.261,-0.220
28,0.200,1.000,0.600,0.000,0.200,-0.882,-0.261,-0.223
28,0.200,1.000,0.600,0.000,0.400,-0.882,-0.261,-0.226
28,0.200,1.000,0.600,0.000,0.600,-0.882,-0.261,-0.230
28,0.200,1.000,0.600,0.000,0.800,-0.882,-0.261,-0.236
28,0.200,1.000,0.600,0.000,1.000,-0.882,-0.261,-0.244
28,0.200,1.000,0.600,0.200,0.000,-0.882,-0.261,-0.222
28,0.200,1.000,0.600,0.200,0.200,-0.882,-0.261,-0.224
28,0.200,1.000,0.600,0.200,0.400,-0.882,-0.261,-0.227
28,0.200,1.000,0.600,0.200,0.600,-0.882,-0.261,-0.232
28,0.200,1.000,0.600,0.200,0.800,-0.882,-0.261,-0.238
28,0.200,1.000,0.600,0.200,1.000,-0.882,-0.261,-0.248
28,0.200,1.000,0.600,0.400,0.000,-0.882,-0.261,-0.223
28,0.200,1.000,0.600,0.400,0.200,-0.882,-0.261,-0.226
28,0.200,1.000,0.600,0.400,0.400,-0.882,-0.261,-0.229
28,0.200,1.000,0.600,0.400,0.600,-0.882,-0.261,-0.233
28,0.200,1.000,0.600,0.400,0.800,-0.882,-0.261,-0.240
28,0.200,1.000,0.600,0.400,1.000,-0.882,-0.261,-0.250
28,0.200,1.000,0.600,0.600,0.000,-0.882,-0.261,-0.224
28,0.200,1.000,0.600,0.600,0.200,-0.882,-0.261,-0.226
28,0.200,1.000,0.600,0.600,0.400,-0.882,-0.261,-0.230
28,0.200,1.000,0.600,0.600,0.600,-0.882,-0.261,-0.234
28,0.200,1.000,0.600,0.600,0.800,-0.882,-0.261,-0.241
28,0.200,1.000,0.600,0.600,1.000,-0.882,-0.261,-0.253
28,0.200,1.000,0.600,0.800,0.000,-0.882,-0.261,-0.225
28,0.200,1.000,0.600,0.800,0.200,-0.882,-0.261,-0.227
28,0.200,1.000,0.600,0.800,0.400,-0.882,-0.261,-0.231
28,0.200,1.000,0.600,0.800,0.600,-0.882,-0.261,-0.235
28,0.200,1.000,0.600,0.800,0.800,-0.882,-0.261,-0.243
28,0.200,1.000,0.600,0.800,1.000,-0.882,-0.261,-0.255
28,0.200,1.000,0.600,1.000,0.000,-0.882,-0.261,-0.225
28,0.200,1.000,0.600,1.000,0.200,-0.882,-0.261,-0.228
28,0.200,1.000,0.600,1.000,0.400,-0.882,-0.261,-0.231
28,0.200,1.000,0.600,1.000,0.600,-0.882,-0.261,-0.236
28,0.200,1.000,0.600,1.000,0.800,-0.882,-0.261,-0.244
28,0.200,1.000,0.600,1.000,1.000,-0.882,-0.261,-0.255
28,0.200,1.000,0.800,0.000,0.000,-0.882,-0.261,-0.218
28,0.200,1.000,0.800,0.000,0.200,-0.882,-0.261,-0.221
28,0.200,1.000,0.800,0.000,0.400,-0.882,-0.261,-0.224
28,0.200,1.000,0.800,0.000,0.600,-0.882,-0.261,-0.229
28,0.200,1.000,0.800,0.000,0.800,-0.882,-0.261,-0.235
28,0.200,1.000,0.800,0.000,1.000,-0.882,-0.261,-0.243
28,0.200,1.000,0.800,0.200,0.000,-0.882,-0.261,-0.219
28,0.200,1.000,0.800,0.200,0.200,-0.882,-0.261,-0.222
28,0.200,1.000,0.800,0.200,0.400,-0.882,-0.261,-0.225
28,0.200,1.000,0.800,0.200,0.600,-0.882,-0.261,-0.230
28,0.200,1.000,0.800,0.200,0.800,-0.882,-0.261,-0.236
28,0.200,1.000,0.800,0.200,1.000,-0.882,-0.261,-0.247
28,0.200,1.000,0.800,0.400,0.000,-0.882,-0.261,-0.220
28,0.200,1.000,0.800,0.400,0.200,-0.882,-0.261,-0.223
28,0.200,1.000,0.800,0.400,0.400,-0.882,-0.261,-0.226
28,0.200,1.000,0.800,0.400,0.600,-0.882,-0.261,-0.231
28,0.200,1.000,0.800,0.400,0.800,-0.882,-0.261,-0.238
28,0.200,1.000,0.800,0.400,1.000,-0.882,-0.261,-0.250
28,0.200,1.000,0.800,0.600,0.000,-0.882,-0.261,-0.221
28,0.200,1.000,0.800,0.600,0.200,-0.882,-0.261,-0.224
28,0.200,1.000,0.800,0.600,0.400,-0.882,-0.261,-0.227
28,0.200,1.000,0.800,0.600,0.600,-0.882,-0.261,-0.232
28,0.200,1.000,0.800,0.600,0.800,-0.882,-0.261,-0.240
28,0.200,1.000,0.800,0.600,1.000,-0.882,-0.261,-0.253
28,0.200,1.000,0.800,0.800,0.000,-0.882,-0.261,-0.222
28,0.200,1.000,0.800,0.800,0.200,-0.882,-0.261,-0.224
28,0.200,1.000,0.800,0.800,0.400,-0.882,-0.261,-0.228
28,0.200,1.000,0.800,0.800,0.600,-0.882,-0.261,-0.233
28,0.200,1.000,0.800,0.800,0.800,-0.882,-0.261,-0.241
28,0.200,1.000,0.800,0.800,1.000,-0.882,-0.261,-0.257
28,0.200,1.000,0.800,1.000,0.000,-0.882,-0.261,-0.222
28,0.200,1.000,0.800,1.000,0.200,-0.882,-0.261,-0.224
28,0.200,1.000,0.800,1.000,0.400,-0.882,-0.261,-0.228
28,0.200,1.000,0.800,1.000,0.600,-0.882,-0.261,-0.234
28,0.200,1.000,0.800,1.000,0.800,-0.882,-0.261,-0.243
28,0.200,1.000,0.800,1.000,1.000,-0.882,-0.261,-0.261
28,0.200,1.000,1.000,0.000,0.000,-0.882,-0.261,-0.217
28,0.200,1.000,1.000,0.000,0.200,-0.882,-0.261,-0.220
28,0.200,1.000,1.000,0.000,0.400,-0.882,-0.261,-0.223
28,0.200,1.000,1.000,0.000,0.600,-0.882,-0.261,-0.228
28,0.200,1.000,1.000,0.000,0.800,-0.882,-0.261,-0.234
28,0.200,1.000,1.000,0.000,1.000,-0.882,-0.261,-0.243
28,0.200,1.000,1.000,0.200,0.000,-0.882,-0.261,-0.218
28,0.200,1.000,1.000,0.200,0.200,-0.882,-0.261,-0.221
28,0.200,1.000,1.000,0.200,0.400,-0.882,-0.261,-0.224
28,0.200,1.000,1.000,0.200,0.600,-0.882,-0.261,-0.229
28,0.200,1.000,1.000,0.200,0.800,-0.882,-0.261,-0.236
28,0.200,1.000,1.000,0.200,1.000,-0.882,-0.261,-0.246
28,0.200,1.000,1.000,0.400,0.000,-0.882,-0.261,-0.219
28,0.200,1.000,1.000,0.400,0.200,-0.882,-0.261,-0.221
28,0.200,1.000,1.000,0.400,0.400,-0.882,-0.261,-0.225
28,0.200,1.000,1.000,0.400,0.600,-0.882,-0.261,-0.230
28,0.200,1.000,1.000,0.400,0.800,-0.882,-0.261,-0.237
28,0.200,1.000,1.000,0.400,1.000,-0.882,-0.261,-0.249
28,0.200,1.000,1.000,0.600,0.000,-0.882,-0.261,-0.219
28,0.200,1.000,1.000,0.600,0.200,-0.882,-0.261,-0.222
28,0.200,1.000,1.000,0.600,0.400,-0.882,-0.261,-0.225
28,0.200,1.000,1.000,0.600,0.600,-0.882,-0.261,-0.231
28,0.200,1.000,1.000,0.600,0.800,-0.882,-0.261,-0.239
28,0.200,1.000,1.000,0.600,1.000,-0.882,-0.261,-0.254
28,0.200,1.000,1.000,0.800,0.000,-0.882,-0.261,-0.219
28,0.200,1.000,1.000,0.800,0.200,-0.882,-0.261,-0.222
28,0.200,1.000,1.000,0.800,0.400,-0.882,-0.261,-0.226
28,0.200,1.000,1.000,0.800,0.600,-0.882,-0.261,-0.231
28,0.200,1.000,1.000,0.800,0.800,-0.882,-0.261,-0.241
28,0.200,1.000,1.000,0.800,1.000,-0.882,-0.261,-0.260
28,0.200,1.000,1.000,1.000,0.000,-0.882,-0.261,-0.220
28,0.200,1.000,1.000,1.000,0.200,-0.882,-0.261,-0.222
28,0.200,1.000,1.000,1.000,0.400,-0.882,-0.261,-0.226
28,0.200,1.000,1.000,1.000,0.600,-0.882,-0.261,-0.232
28,0.200,1.000,1.000,1.000,0.800,-0.882,-0.261,-0.243
28,0.200,1.000,1.000,1.000,1.000,-0.882,-0.261,-0.266
28,0.300,0.000,0.000,0.000,0.000,-0.882,-0.261,-0.259
28,0.300,0.000,0.000,0.000,0.200,-0.882,-0.261,-0.260
28,0.300,0.000,0.000,0.000,0.400,-0.882,-0.261,-0.262
28,0.300,0.000,0.000,0.000,0.600,-0.882,-0.261,-0.264
28,0.300,0.000,0.000,0.000,0.800,-0.882,-0.261,-0.266
28,0.300,0.000,0.000,0.000,1.000,-0.882,-0.261,-0.270
28,0.300,0.000,0.000,0.200,0.000,-0.882,-0.261,-0.258
28,0.300,0.000,0.000,0.200,0.200,-0.882,-0.261,-0.259
28,0.300,0.000,0.000,0.200,0.400,-0.882,-0.261,-0.260
28,0.300,0.000,0.000,0.200,0.600,-0.882,-0.261,-0.261
28,0.300,0.000,0.000,0.200,0.800,-0.882,-0.261,-0.263
28,0.300,0.000,0.000,0.200,1.000,-0.882,-0.261,-0.265
28,0.300,0.000,0.000,0.400,0.000,-0.882,-0.261,-0.257
28,0.300,0.000,0.000,0.400,0.200,-0.882,-0.261,-0.258
28,0.300,0.000,0.000,0.400,0.400,-0.882,-0.261,-0.259
28,0.300,0.000,0.000,0.400,0.600,-0.882,-0.261,-0.260
